     Omega (cm-1)     IR (km mol-1)      Config.
      1163.0599        0.163000E+01       1_1
      1249.8256        0.154347E+02       2_1
      1508.5280        0.618653E+01       3_1
      1749.7437        0.101245E+03       4_1
      2323.9384        0.423315E-01       1_2
      2496.4765        0.850660E+00       2_2
      2770.7659        0.548445E+02       5_1
      2713.1368        0.496195E+02       2_1    3_1
      2828.5584        0.101685E+03       6_1
      3001.3931        0.647019E+01       2_1    4_1
