     Omega (cm-1)     IR (km mol-1)   Coeff.  Weight      Config.
      1305.7123        0.755932E+02   -0.996   0.993        9_1
      1558.2055        0.217986E+03    0.996   0.991       10_1
      1691.2493        0.304903E+03    0.997   0.994       11_1
      2607.0527        0.479861E+00   -0.986   0.973        9_2
      2850.4002        0.433795E+01   -0.964   0.929        9_1   10_1
      2998.1028        0.770041E+00   -0.988   0.976        9_1   11_1
      3086.6481        0.736788E+01    0.923   0.852       10_2
      3251.4994        0.976802E+00   -0.986   0.973       10_1   11_1
      3347.2579        0.747830E+02   -0.925   0.855       12_1
      3371.6855        0.457736E+01   -0.991   0.982       11_2
      3903.1581        0.118111E-01    0.964   0.930        9_3
